CODMES,CODSOLICITUD,TARJETA_RELACIONADA,VEHICULAR_RELACIONADA,HIPOTECARIO_RELACIONADA,FLG_PDH,NUMERO_DE_PAGOS_PDH,SEGMENTOCLIENTE_RECLA_ENC,ZONA_CALLAO,ZONA_CENTRO,ZONA_LA_LIBERTAD,ZONA_LIMA,ZONA_MADRE_DE_DIOS,ZONA_NORTE,ZONA_NO_INFORMADO,ZONA_SUR,ZONA_TACNA,ESTADO_CIVIL_TM,ESTADO_CIVIL_CAS,ESTADO_CIVIL_CBS,ESTADO_CIVIL_CON,ESTADO_CIVIL_NO_INFORMADO,ESTADO_CIVIL_SEP,ESTADO_CIVIL_SOL,ESTADO_CIVIL_VIU,ATRASO_MAXIMO_ULT_24M_TCS_TM,MEDIANA_AHORROS_ULT_6M_TCS_TM,DEUDA_TOTAL_SISTEMA_TCS_TM,CLASIF_SISTEMA_ULT_12M_TM,MONTO_DEUDA_TC_SISTEMA_TCS,INGRESO_DECLARADO_CLIENTE_TCS_TM,EDAD_T_TCS_TM,FLG_DEFAULT_12M
201309,3617,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,986.44,36138.33,3.0,0.0,1418.527941,43.0,0
201309,3618,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,2906.2,664.16,0.0,0.0,1335.440873,23.0,1
201309,3619,1,0,0,1,10,0,0,0,0,1,0,0,0,0,0,SEP,0,0,0,0,1,0,0,0.0,7761.89,43277.23,0.0,9519.397500000001,4283.664108,60.0,0
201309,3620,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,SOL,0,0,0,0,0,1,0,0.0,4359.09,12866.31,0.0,9519.397500000001,2569.286874,40.0,0
201309,3621,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,0.0,636.38,0.0,0.0,0.0,1263.803388,35.0,0
201309,3622,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,1.0,13567.46,26794.07,0.0,4425.53,3115.016639,31.0,0
201309,3623,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,4253.66,0.0,4.0,0.0,1481.999947,24.0,0
201309,3624,0,0,0,1,24,1,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,18925.7,6248.34,0.0,0.0,6696.8683588,43.0,0
201309,3625,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,3845.44,2083.35,0.0,2083.35,1590.245166,26.0,0
201309,3626,1,0,0,1,24,0,0,0,1,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,10149.29,25059.29,0.0,9519.397500000001,2553.665782,33.0,0
201309,3627,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,2335.54,4751.2,1.0,4751.2,2231.373704,25.0,0
201309,3628,1,0,0,1,24,0,0,0,0,0,0,0,1,0,0,NO_INFORMADO,0,0,0,1,0,0,0,0.0,3849.29,13105.33,0.0,5159.1,1953.961921,36.75091186418197,0
201309,3629,1,0,0,1,24,1,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,2.0,1657.39,48636.71,1.0,9519.397500000001,3878.039255,59.0,0
201309,3630,1,0,1,1,24,1,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,2.0,2769.39,48636.71,0.0,9519.397500000001,2945.886982,45.0,1
201309,3631,1,1,0,1,24,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,2.0,18925.7,48636.71,0.0,9519.397500000001,6696.8683588,46.0,0
201309,3632,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,1.0,6136.87,16818.22,0.0,9519.397500000001,6696.8683588,41.0,0
201309,3633,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,485.58,242.13,0.0,0.0,2095.016811,34.0,0
201309,3634,1,0,0,1,12,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,2153.59,0.0,0.0,0.0,2963.467652759518,22.0,1
201309,3635,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,806.53,14172.718854229795,1.0,0.0,1300.619325,29.0,1
201309,3636,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,1.0,486.3,14381.72,0.0,9000.79,2235.220269,48.0,0
201309,3637,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,11899.97,0.0,0.0,0.0,2627.209608,47.0,0
201309,3638,0,0,0,1,18,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,15769.39,9735.26,0.0,0.0,2857.063123,54.0,0
201309,3639,0,0,0,1,24,0,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,0.0,10859.9,35000.0,0.0,0.0,3158.383096,50.0,0
201309,3640,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,0.0,3304.9,5429.32,0.0,0.0,2105.965535,53.0,1
201309,3641,1,0,0,1,24,1,1,0,0,0,0,0,0,0,0,SEP,0,0,0,0,1,0,0,2.0,18925.7,5967.69,1.0,5967.69,5772.251934,40.0,0
201309,3642,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,0.0,245.17,1247.04,0.0,0.0,1782.396968,34.0,0
201309,3643,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,0.0,234.62,2456.67,0.0,0.0,1749.272295,50.0,0
201309,3644,1,0,0,1,24,0,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,0.0,70.61,2351.41,0.0,0.0,1271.475009,35.0,0
201309,3645,1,0,0,1,15,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,7096.4,2361.66,0.0,2361.66,1453.846534,31.0,0
201309,3646,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,2098.78,9798.48,1.0,2779.96,2255.435432,47.0,0
201309,3647,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,1637.27,14172.718854229795,1.0,0.0,2270.882248,26.0,0
201309,3648,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,SEP,0,0,0,0,1,0,0,2.0,8336.81,5763.15,2.0,2830.2,1738.23613,41.0,0
201309,3649,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,17918.0,16523.9,0.0,5212.87,5852.775119,50.0,0
201309,3650,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,2.0,15834.72,48636.71,0.0,5023.79,6696.8683588,59.0,0
201309,3651,0,0,0,1,20,1,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,6461.23,44464.91,0.0,0.0,3293.422384,36.0,0
201309,3652,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,8505.25,11240.4,0.0,0.0,2404.462638,33.0,0
201309,3653,1,0,0,1,18,0,0,0,0,0,0,0,1,0,0,NO_INFORMADO,0,0,0,1,0,0,0,2.0,3520.48,14172.718854229795,1.0,0.0,2963.467652759518,36.75091186418197,1
201309,3654,0,0,0,1,24,1,0,0,0,0,0,1,0,0,0,CAS,1,0,0,0,0,0,0,2.0,3082.97,13404.19,0.0,9519.397500000001,6696.8683588,38.0,0
