CODMES;CODSOLICITUD;SEGMENTOCLIENTE;TARJETA_RELACIONADA;VEHICULAR_RELACIONADA;HIPOTECARIO_RELACIONADA;ATRASO_MAXIMO_ULT_24M;MESES_AHORROS_ULT_6M;MEDIANA_AHORROS_ULT_6M;DEUDA_TOTAL_SISTEMA;CLASIF_SISTEMA_ULT_12M;FLG_PDH;NUMERO_DE_PAGOS_PDH;MONTO_DEUDA_TC_SISTEMA;INGRESO_DECLARADO_CLIENTE;ZONA_DEL_DESEMBOLSO;ESTADO_CIVIL;EDAD_T;LINEA_DE_TC_SISTEMA;FLG_DEFAULT_12M
201310;5133;CLIENTES ORO;1;0;0;0;;14152.5;21876.57;0;0;1;21876.57;3823.624651;LIMA_MODERNA;CAS;65;15400;0
201310;5134;CLIENTES PLATINUM SEGM 2;0;0;0;0;;1762.82;4382.62;0;1;2;4382.62;1645.84255;JUNIN;SOL;30;16371;0
201310;5135;CLIENTES ORO;1;0;0;0;;4211.7;10705.55;0;1;24;0;2486.674281;LIMA_PROV;SOL;34;2000;0
201310;5136;CLIENTES PLATINUM SEGM 2;0;0;1;0;;18933;186560.55;0;1;24;17.55;9034.828729;CAJAMARCA;CAS;47;22682;0
201310;5137;CLIENTES ORO;1;0;0;0;;10776.92;5769.15;0;1;24;1512.79;2040.394841;CAJAMARCA;CAS;33;1600;0
201310;5138;CLIENTES PLATINUM SEGM 2;0;0;0;3;;1024.89;16122.47;1;1;15;3798.72;1636.367135;LIMA_SUR;CAS;46;15902;0
201310;5139;CLIENTES PLATINUM SEGM 2;0;0;0;0;;18770;311032.48;0;1;24;2696.36;9938.440642;LIMA_MODERNA;SOL;32;10434;0
201310;5140;CLIENTES PLATINUM SEGM 2;1;0;0;0;;927.66;384.25;0;1;18;0;4581.196898;CAJAMARCA;CAS;42;55000;0
201310;5141;CLIENTES PLATINUM SEGM 2;1;0;0;0;;6692.41;51052.02;0;0;1;24626.06;7539.202655;LIMA_SUR;SOL;50;17280;0
201310;5142;CLIENTES ORO;0;0;0;2;;4728.97;1089.72;1;1;24;749.72;1069.17722;LIMA_SUR;SOL;27;12237;0
201310;5143;CLIENTES ORO;1;0;0;20;;132.88;15372.22;2;1;24;0;1145.909251;;;;;0
201310;5144;CLIENTES PLATINUM SEGM 2;0;0;0;2;;18501;1195.29;1;1;24;1195.29;4359.448892;AREQUIPA;SOL;41;17652;0
201310;5145;CLIENTES ORO;0;0;0;0;;8475.13;0;0;1;24;0;1898.068534;LIMA_NORTE;SOL;42;299;0
201310;5146;CLIENTES ORO;0;0;0;2;;609.77;8734.76;1;1;18;5461.9;1897.951883;LIMA_NORTE;SOL;29;2540;0
201310;5147;CLIENTES ORO;1;0;0;0;;321.97;9344.69;0;1;24;845.7;1757.204103;LIMA_ESTE;SOL;23;1000;0
201310;5148;CLIENTES PLATINUM SEGM 2;1;0;0;0;;15280;6709.67;0;1;20;6709.67;10369.27401;LIMA_MODERNA;CBS;36;34100;0
201310;5149;CLIENTES ORO;1;0;0;0;;17622;;;1;24;0;3016.621673;LIMA_MODERNA;SOL;25;3000;0
201310;5150;CLIENTES ORO;0;0;0;0;;12444.33;0;4;1;24;0;1991.11127;LIMA_CENTRO;SOL;34;17755;0
201310;5151;CLIENTES ORO;1;0;0;0;;15610;3855.74;0;1;24;3855.74;7969.429902;CALLAO;CAS;51;4580;1
